year,Ms Alison Patricia Mutch OBE,Ms Mary Hassell,Ms Nadia Persaud,Mr Professor John S Pollard,Mr Tom Osborne,Mr Andrew Cox,Mrs Jacqueline F Lake,Mrs Louise Hunt,Mr John Gittins,Mr Andrew Harris,Mr Chris Morris,Mr graeme Irvine,Miss Veronica HAMILTON-DEELEY,Mr Kevin McLoughlin,Mrs lydia brown,Ms Joanne Kearsley,Mr Zafar Siddique,Mr Andrew Walker,Mr Martin Dominic Fleming,Dr Fiona Jane Wilcox,Mrs Heidi Julia Connor,Mr Andrew Adrian Haigh,Mrs Maria Eileen Voisin,Ms Penelope Schofield,Miss Emma Brown,Mrs Rachael Clare Griffin,Ms Caroline Saunders,Ms Lisa Jeanette Hashmi,Mr Andrew Roger Barkley,Ms Sonia Marie Hayes
2013,1,7,1,6,5,2,0,2,5,5,0,0,0,0,2,2,0,3,4,0,1,5,2,0,0,0,0,3,0,0
2014,0,18,3,31,16,5,13,6,12,13,0,0,9,2,7,9,4,14,7,10,3,8,7,2,0,0,0,9,5,0
2015,0,18,7,27,8,8,12,10,7,7,1,0,7,3,9,6,4,13,2,1,4,5,6,3,4,5,0,6,8,1
2016,1,16,9,18,9,6,4,9,4,7,0,0,7,1,9,6,8,6,10,7,5,2,1,3,7,7,0,5,11,0
2017,14,20,5,2,10,2,5,6,7,6,5,0,10,3,5,1,14,3,2,2,6,3,5,2,5,2,1,11,11,0
2018,28,14,6,2,6,7,1,8,3,3,7,0,10,8,4,2,11,2,10,7,4,7,5,2,9,4,4,6,1,1
2019,31,11,8,1,8,8,9,13,6,6,11,1,8,6,4,6,6,2,4,7,5,8,9,4,6,2,5,2,3,5
2020,24,9,11,0,5,7,5,2,1,5,8,11,3,6,0,0,1,4,0,1,1,7,1,4,1,2,3,0,0,4
2021,30,19,8,0,5,5,3,2,4,7,6,11,9,13,4,5,4,0,3,2,4,5,2,6,2,2,8,0,0,9
2022,25,10,9,0,3,5,13,3,4,3,10,14,0,7,6,3,1,4,2,3,3,0,2,3,3,5,7,0,0,1
2023,29,11,12,0,5,9,7,3,7,5,5,12,0,6,3,5,0,1,2,4,7,0,2,6,5,6,6,0,0,7
2024,34,12,9,0,4,9,7,7,6,1,9,14,0,3,2,7,2,0,2,5,5,0,4,6,1,6,7,0,2,9
2025,8,8,2,2,0,6,0,5,4,2,4,1,0,1,2,3,0,0,3,2,2,0,0,3,1,2,2,0,0,4
